cod; tit;desc;
1; Recursos do Exercício Corrente;Recursos com destinação livre ou vinculada arrecadados no exercício corrente.;
2; Recursos de Exercícios Anteriores;Recursos com destinação livre ou vinculada arrecadados no exercício anterior. Esse código não deve constar do orçamento do município, devendo ser utilizado apenas para indicar o superávit financeiro do exercício anterior que servirá de base para abertura de créditos adicionais, respeitando as especificações das destinações de recursos.;
500; Recursos não Vinculados de Impostos;Recursos de impostos e transferências de impostos de livre aplicação. Em atendimento ao disposto no inciso X do art. 4º da Lei Complementar nº 141, de 13 de janeiro de 2012, para identificação do percentual mínimo aplicado em ASPS, essa fonte de recursos deverá ser associada ao código de acompanhamento da execução orçamentária (CO) "1002", que identifica as despesas que podem ser consideradas para esse limite. A mesma lógica será utilizada para a identificação do percentual mínimo de aplicação em MDE, cujo CO é " 1001".;
501; Outros Recursos não Vinculados;Outros recursos não vinculados que não se enquadram na especificação acima.;
540; Transferências do FUNDEB - Impostos e Transferências de Impostos;Controle dos recursos recebidos do FUNDEB referente à repartição dentro de cada Estado, com base no art. 212-A, incisos I, II e III, da Constituição Federal. Na fase da despesa, quando for o caso, será necessário associar esta fonte ao marcador do percentual de aplicação no pagamento da remuneração dos profissionais da educação básica em efetivo exercício (CO "1070"), para identificar o cumprimento do percentual mínimo de 70% estabelecido no inciso XI do art. 212-A da CF.;
541; Transferências do FUNDEB - Complementação da União - VAAF;Controle dos recursos de complementação da União ao FUNDEB - VAAF, com base no art. 212-A, inciso V, a, da Constituição Federal. Na fase da despesa, quando for o caso, será necessário associar esta fonte ao marcador do percentual de aplicação no pagamento da remuneração dos profissionais da educação básica em efetivo exercício (CO "1070") para identificar o cumprimento do percentual mínimo de 70% estabelecido no inciso XI do art. 212-A da CF.;
542; Transferências do FUNDEB - Complementação da União - VAAT;Controle dos recursos de complementação da União ao FUNDEB - VAAT, com base no art. 212-A, inciso V, b, da Constituição Federal. Na fase da despesa, quando for o caso, será necessário associar esta fonte ao marcador do percentual de aplicação no pagamento da remuneração dos profissionais da educação básica em efetivo exercício (CO "1070") para identificar o cumprimento do percentual mínimo de 70% estabelecido no inciso XI do art. 212-A da CF.;
543; Transferências do FUNDEB - Complementação da União - VAAR;Controle dos recursos de complementação da União ao FUNDEB - VAAR, com base no art. 212-A, inciso V, c, da Constituição Federal.;
544; Recursos de Precatórios do FUNDEF;Controle dos recursos decorrentes do recebimento de precatórios derivados de ações judiciais associadas à complementação devida pela União ao Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério dos demais entes federados (Precatórios Fundef).;
550; Transferência do Salário-Educação;Controle dos recursos originários de transferências recebidas do Fundo Nacional do Desenvolvimento da Educação – FNDE, relativos aos repasses referentes ao salário-educação.;
551; Transferências de Recursos do FNDE referentes ao Programa Dinheiro Direto na Escola (PDDE);Controle dos recursos originários de transferências do Fundo Nacional do Desenvolvimento da Educação – FNDE, destinados ao Programa Dinheiro Direto na Escola (PDDE).;
552; Transferências de Recursos do FNDE referentes ao Programa Nacional de Alimentação Escolar (PNAE);Controle dos recursos originários de transferências do Fundo Nacional do Desenvolvimento da Educação – FNDE, destinados ao Programa Nacional de Alimentação Escolar (PNAE).;
553; Transferências de Recursos do FNDE Referentes ao Programa Nacional de Apoio ao Transporte Escolar (PNATE);Controle dos recursos originários de transferências do Fundo Nacional do Desenvolvimento da Educação – FNDE, destinados ao Programa Nacional de Apoio ao Transporte Escolar (PNATE).;
569; Outras Transferências de Recursos do FNDE;Controle dos demais recursos originários de transferências do Fundo Nacional do Desenvolvimento da Educação – FNDE.;
570; Transferências do Governo Federal referentes a Convênios e Instrumentos Congêneres vinculados à Educação;Controle dos recursos originários de transferências em decorrência da celebração de convênios e instrumentos congêneres com a União, cuja destinação encontra-se vinculada a programas da educação.;
571; Transferências do Estado referentes a Convênios e Instrumentos Congêneres vinculados à Educação;Controle dos recursos originários de transferências em decorrência da celebração de convênios e instrumentos congêneres com os Estados, cuja destinação encontra-se vinculada a programas da educação.;
572; Transferências de Municípios referentes a Convênios e Instrumentos Congêneres vinculados à Educação;Controle dos recursos originários de transferências em decorrência da celebração de convênios e instrumentos congêneres com outros municípios, cuja destinação encontra-se vinculada a programas da educação.;
573; Royalties do Petróleo e Gás Natural Vinculados à Educação;Controle dos recursos vinculados à Educação, originários de transferências recebidas pelos entes, relativos a Royalties e Participação Especial – Art. 2º da Lei nº 12.858/2013.;
574; Operações de Crédito Vinculadas à Educação;Controle dos recursos originários de operações de crédito, cuja destinação encontra-se vinculada a programas da educação.;
575; Outras Transferências de Convênios e Instrumentos Congêneres vinculados à Educação;Controle dos recursos originários de transferências de entidades privadas, estrangeiras ou multigovernamentais em virtude de assinatura de convênios e instrumentos congêneres, cuja destinação encontra-se vinculada a programas de educação.;
576; Transferências de Recursos dos Estados para programas de educação;Controle dos recursos transferidos pelos Estados para programas de educação, que não decorram de celebração de convênios, contratos de repasse e termos de parceria.;
599; Outros Recursos Vinculados à Educação;Controle dos demais recursos vinculados à Educação, não enquadrados nas especificações anteriores.;
600; Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde;Controle dos recursos originários de transferências do Fundo Nacional de Saúde, referentes ao Sistema Único de Saúde (SUS) e relacionados ao Bloco de Manutenção das Ações e Serviços Públicos de Saúde.;
601; Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde;Controle dos recursos originários de transferências do Fundo Nacional de Saúde, referentes ao Sistema Único de Saúde (SUS) e relacionados ao Bloco de Estruturação na Rede de Serviços Públicos de Saúde.;
602; Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde – Recursos destinados ao enfrentamento da COVID-19 no bojo da ação 21C0;Controle dos recursos originários de transferências do Fundo Nacional de Saúde, referentes ao Sistema Único de Saúde (SUS), relacionados ao Bloco de Manutenção das Ações e Serviços Públicos de Saúde, e destinados ao enfrentamento da COVID-19 no bojo da ação 21C0 do orçamento da União.;
603; Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde – Recursos destinados ao enfrentamento da COVID-19 no bojo da ação 21C0;Controle dos recursos originários de transferências do Fundo Nacional de Saúde, referentes ao Sistema Único de Saúde (SUS), relacionados ao Bloco de Estruturação na Rede de Serviços Públicos de Saúde e destinados ao enfrentamento da COVID-19 no bojo da ação 21C0 do orçamento da União.;
604; Transferências provenientes do Governo Federal destinadas ao vencimento dos agentes comunitários de saúde e dos agentes de combate às endemias.;Controle dos recursos originários do Governo Federal, referentes ao Sistema Único de Saúde (SUS), relacionados ao vencimento dos agentes comunitários de saúde e dos agentes de combate às endemias, nos termos do art. 198, §7ª da
Constituição Federal.;
621; Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual;Controle dos recursos originários de transferências do Fundo Estadual de Saúde, referentes ao Sistema Único de Saúde (SUS).;
622; Transferências Fundo a Fundo de Recursos do SUS provenientes dos Governos Municipais;Controle dos recursos originários de transferências dos Fundos de Saúde de outros municípios, referentes ao Sistema Único de Saúde (SUS).;
631; Transferências do Governo Federal referentes a Convênios e Instrumentos Congêneres vinculados à Saúde;Controle dos recursos originários de transferências em decorrência da celebração de convênios e instrumentos congêneres com a União, cuja destinação encontra-se vinculada a programas da saúde.;
632; Transferências do Estado referentes a Convênios e Instrumentos Congêneres vinculados à Saúde;Controle dos recursos originários de transferências em decorrência da celebração de convênios e instrumentos congêneres com os Estados, cuja destinação encontra-se vinculada a programas da saúde.;
633; Transferências de Municípios referentes a Convênios e Instumentos Congêneres vinculados à Saúde;Controle dos recursos originários de transferências em decorrência da celebração de convênios e instrumentos congêneres com outros Municípios, cuja destinação encontra-se vinculada a programas da saúde.;
634; Operações de Crédito vinculadas à Saúde;Controle dos recursos originários de operações de crédito, cuja destinação encontra-se vinculada a programas da saúde.;
635; Royalties do Petróleo e Gás Natural vinculados à Saúde;Controle dos recursos vinculados à Saúde, originários de transferências recebidas pelos entes, relativos a Royalties e Participação Especial – Art. 2º da Lei nº 12.858/2013.;
636; Outras Transferências de Convênios e Instrumentos Congêneres vinculados à Saúde;Controle dos recursos originários de transferências de entidades privadas, estrangeiras ou multigovernamentais em virtude de assinatura de convênios e instrumentos congêneres, cuja destinação encontra-se vinculada a programas de saúde.;
659; Outros Recursos Vinculados à Saúde;Controle dos demais recursos vinculados à Saúde, não enquadrados nas especificações anteriores.;
660; Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS;Controle dos recursos originários de transferências do Fundo Nacional de Assistência Social - Lei Federal nº 8.742, 07/12/1993.;
661; Transferência de Recursos dos Fundos Estaduais de Assistência Social;Controle dos recursos originários de transferências dos fundos estaduais de assistência social.;
662; Transferências de Recursos dos Fundos Municipais de Assistência Social;Controle dos recursos originários de transferência dos fundos municipais de assistência social.;
665; Transferências de Convênios e Instrumentos Congêneres vinculados à Assistência Social;Controle dos recursos originários de transferências em decorrência da celebração de convênios e instrumentos congêneres cuja destinação encontra-se vinculada a programas da assistência social.;
669; Outros Recursos Vinculados à Assistência Social;Controle dos demais recursos vinculados à Assistência Social, não enquadrados nas especificações anteriores.;
700; Outras Transferências de Convênios ou Instrumentos Congêneres da União;Controle dos recursos originários de transferências federais em decorrência da celebração de convênios e instrumentos congêneres cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios vinculados a programas da educação, da saúde e da assistência social.;
701; Outras Transferências de Convênios ou Instrumentos Congêneres dos Estados;Controle dos recursos originários de transferências estaduais em decorrência da celebração de convênios e instrumentos congêneres cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social.;
702; Outras Transferências de Convênios ou Instrumentos Congêneres dos Municípios;Controle dos recursos originários de transferências de municípios em decorrência da celebração de convênios e instrumentos congêneres cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social.;
703; Outras Transferências de Convênios ou Instrumentos Congêneres de outras Entidades;Controle dos recursos originários de transferências de entidades privadas, estrangeiras ou multigovernamentais em virtude de assinatura de convênios e instrumentos congêneres cuja destinação encontra-se vinculada aos seus objetos. Não serão controlados por esta fonte os recursos de convênios ou contratos de repasse vinculados a programas da educação, da saúde e da assistência social. .;
704; Transferências da União Referentes a Compensações Financeiras pela Exploração de Recursos Naturais;Controle dos recursos transferidos pela União, originários da arrecadação de royalties do petróleo, do gás natural, da cota-parte do bônus de assinatura de contrato de partilha de produção, exceto os recursos provenientes da Lei nº 12.858/2013, destinados às áreas da saúde ou da educação.;
705; Transferências dos Estados Referentes a Compensações Financeiras pela Exploração de Recursos Naturais;Controle dos recursos transferidos pelos Estados, originários da arrecadação de royalties do petróleo, do gás natural, da cota-parte do bônus de assinatura de contrato de partilha de produção.;
706; Transferência Especial da União;Controle dos recursos transferidos pela União provenientes de emendas individuais impositivas ao orçamento da União, por meio de transferências especiais, nos termos do art. 166-A, inciso I, da Constituição Federal.;
707; Transferências da União – inciso I do art. 5º da Lei Complementar 173/2020;Controle dos recursos provenientes de transferência da União com base no disposto no inciso I do art. 5º da lei complementar 173/2020.;
708; Transferência da União Referente à Compensação Financeira de Recursos Minerais;Controle dos recursos transferidos pela União, referentes à compensação financeira pela exploração de recursos minerais em atendimento às destinações e vedações previstas na legislação.;
709; Transferência da União referente à Compensação Financeira de Recursos Hídricos;Controle dos recursos transferidos pela União, referentes à compensação financeira de recursos hídricos em atendimento às destinações e vedações previstas na legislação.;
710; Transferência Especial dos Estados;Controle dos recursos transferidos pelos Estados provenientes de emendas individuais impositivas ao orçamento desses entes, por meio de transferências especiais, nos termos das constituições estaduais que reproduziram o disposto no art. 166-A da Constituição Federal.;
711; Demais Transferências Obrigatórias não Decorrentes de Repartições de Receitas;Controla os recursos originários de transferências obrigatórias da União que não decorram de repartição de receitas, como as transferências a título de auxílio ou apoio financeiro, e para os quais não tenha sido criada fonte ou destinação de receitas específica.;
712; Transferências Fundo a Fundo de Recursos do Fundo Penitenciário - FUNPEN;Controla as transferências obrigatórias de recursos do Fundo Penitenciário Nacional - FUNPEN.;
713; Transferências Fundo a Fundo de Recursos do Fundo de Segurança Pública - FSP;Controla as transferências obrigatórias de recursos do Fundo de Segurança Pública - FSP;
714; Transferências Fundo a Fundo de Recursos do Fundo de Amparo ao Trabalhador - FAT;Controla as transferências obrigatórias de recursos do Fundo de Amparo ao Trabalhador - FAT;
749; Outras vinculações de transferências;Controle dos recursos de outras transferências vinculadas, não enquadrados nas especificações anteriores.;
750; Recursos da Contribuição de Intervenção no Domínio Econômico - CIDE;Controle dos recursos recebidos pelos Estados, Distrito Federal e Municípios, decorrentes da distribuição da arrecadação da União com a CIDE - Combustíveis, com base no disposto na Lei nº 10.336/2001.;
751; Recursos da Contribuição para o Custeio do Serviço de Iluminação Pública - COSIP;Controle dos recursos da COSIP, nos termos do artigo 149-A da Constituição Federal da República.;
752; Recursos Vinculados ao Trânsito;Controle dos recursos com a cobrança das multas de trânsito nos termos do art. 320 da Lei nº 9.503/1997 - Código de Trânsito Brasileiro.;
753; Recursos Provenientes de Taxas, Contribuições e Preços Públicos;Controle dos recursos de taxas, contribuições e preços públicos vinculados conforme legislações específicas., exceto os vinculados por lei aos fundos, que devem ser classificados com a fonte "759". Os recursos de taxas sem vinculação devem ser classificados na fonte "501".;
754; Recursos de Operações de Crédito;Controle dos recursos originários de operações de crédito, exceto as operações cuja aplicação esteja destinada a programas de educação e saúde.;
755; Recursos de Alienação de Bens/Ativos - Administração Direta;Controle dos recursos decorrentes da alienação de bens da Administração Direta, nos termos do art. 44 da Lei Complementar nº 101/2000.;
